timestamp,vehicle_id,temperature,latency,error_rate,battery_voltage,cpu_usage,memory_usage,gps_accuracy,network_strength,vibration,wheel_speed_variance

2024-01-01 00:00:00,CAR_A,74,410,0.04,12.6,46,53,1.2,-71,0.3,4
2024-01-01 00:01:00,CAR_A,75,445,0.05,12.5,48,54,1.3,-72,0.4,6
2024-01-01 00:02:00,CAR_A,76,480,0.06,12.4,51,56,1.5,-73,0.5,8
2024-01-01 00:03:00,CAR_A,77,820,0.07,12.2,63,60,2.0,-78,0.9,11
2024-01-01 00:04:00,CAR_A,78,510,0.05,12.3,55,57,1.7,-74,0.6,7
2024-01-01 00:05:00,CAR_A,79,910,0.09,11.9,71,64,2.3,-80,1.1,15
2024-01-01 00:06:00,CAR_A,80,540,0.04,12.1,59,61,2.1,-76,0.8,9

2024-01-01 00:00:00,CAR_B,92,580,0.10,12.2,68,70,2.4,-84,1.0,8
2024-01-01 00:01:00,CAR_B,95,630,0.13,12.1,72,73,2.6,-86,1.2,10
2024-01-01 00:02:00,CAR_B,100,690,0.17,12.0,77,76,2.8,-88,1.5,13
2024-01-01 00:03:00,CAR_B,128,840,0.31,11.9,91,84,3.5,-91,2.6,18
2024-01-01 00:04:00,CAR_B,120,760,0.26,12.0,86,82,3.1,-89,2.1,15
2024-01-01 00:05:00,CAR_B,108,710,0.21,12.1,81,79,2.7,-87,1.8,12
2024-01-01 00:06:00,CAR_B,104,670,0.19,12.3,78,77,2.5,-85,1.6,11

2024-01-01 00:00:00,CAR_C,142,980,0.42,11.4,88,78,5.8,-86,3.2,24
2024-01-01 00:01:00,CAR_C,148,1150,0.50,11.1,92,79,6.6,-87,3.9,29
2024-01-01 00:02:00,CAR_C,153,1320,0.58,10.9,95,80,7.4,-88,4.6,35
2024-01-01 00:03:00,CAR_C,160,1500,0.64,10.7,97,81,8.3,-89,5.1,41
2024-01-01 00:04:00,CAR_C,167,1680,0.71,10.6,99,82,9.1,-90,5.7,48
2024-01-01 00:05:00,CAR_C,138,890,0.27,11.8,84,79,3.9,-88,1.9,14
2024-01-01 00:06:00,CAR_C,140,870,0.25,11.9,83,80,3.7,-87,1.7,13
